pesquisa_id,projeto_id,data_pesquisa,nota_nps,comentario
PSQ0001,PRJ0001,2024-05-27,,"Resultado ok, prazo apertado."
PSQ0002,PRJ0003,2025-10-20,10,Documentação impecável.
PSQ0003,PRJ0004,2024-05-08,9,Documentação impecável.
PSQ0004,PRJ0005,2025-03-27,7,"Bom projeto, comunicação pode melhorar."
PSQ0005,PRJ0006,17/07/2025,6,Suporte demorou a responder.
PSQ0006,PRJ0010,06-nov-2024,9,Ganhamos agilidade nas decisões.
PSQ0007,PRJ0011,09/15/2025,7,"Bom projeto, comunicação pode melhorar."
PSQ0008,PRJ0013,2025-01-21,8,Atendeu ao combinado.
PSQ0009,PRJ0014,2024-11-27,6,Precisamos refazer parte do painel.
PSQ0010,PRJ0015,2025-12-29,8,"Resultado ok, prazo apertado."
PSQ0011,PRJ0016,2026-07-02,9,Ganhamos agilidade nas decisões.
PSQ0012,PRJ0017,26/03/2025,10,O painel virou rotina da diretoria.
PSQ0013,PRJ0018,02-dez-2025,7,Atendeu ao combinado.
PSQ0014,PRJ0019,03/03/2025,9,O painel virou rotina da diretoria.
PSQ0015,PRJ0020,2024-04-11,,O painel virou rotina da diretoria.
PSQ0016,PRJ0022,2026-04-09,10,Documentação impecável.
PSQ0017,PRJ0023,2026-04-28,8,"Resultado ok, prazo apertado."
PSQ0018,PRJ0024,2025-12-19,10,Ganhamos agilidade nas decisões.
PSQ0019,PRJ0025,30/04/2025,8,"Resultado ok, prazo apertado."
PSQ0020,PRJ0026,06-fev-2026,8,"Resultado ok, prazo apertado."
PSQ0021,PRJ0028,11/06/2024,9,Ganhamos agilidade nas decisões.
PSQ0022,PRJ0029,2025-11-27,7,"Bom projeto, comunicação pode melhorar."
PSQ0023,PRJ0030,2024-10-28,10,O painel virou rotina da diretoria.
PSQ0024,PRJ0031,2024-11-25,8,Atendeu ao combinado.
PSQ0025,PRJ0032,2026-06-29,10,Ganhamos agilidade nas decisões.
PSQ0026,PRJ0033,21/02/2024,10,Ganhamos agilidade nas decisões.
PSQ0027,PRJ0034,01-jul-2024,5,Suporte demorou a responder.
PSQ0028,PRJ0035,04/21/2025,9,Ganhamos agilidade nas decisões.
PSQ0029,PRJ0037,2025-06-27,,O painel virou rotina da diretoria.
PSQ0030,PRJ0039,2025-03-18,9,Entrega no prazo e time muito atencioso.
PSQ0031,PRJ0041,2025-08-11,8,"Resultado ok, prazo apertado."
PSQ0032,PRJ0043,2025-12-22,9,Documentação impecável.
PSQ0033,PRJ0044,16/06/2025,10,Entrega no prazo e time muito atencioso.
PSQ0034,PRJ0045,09-abr-2025,10,Entrega no prazo e time muito atencioso.
PSQ0035,PRJ0046,04/08/2024,10,O painel virou rotina da diretoria.
PSQ0036,PRJ0047,2024-12-20,6,Atraso significativo na entrega.
PSQ0037,PRJ0049,2026-03-16,10,Entrega no prazo e time muito atencioso.
PSQ0038,PRJ0050,2025-11-18,8,"Bom projeto, comunicação pode melhorar."
PSQ0039,PRJ0051,2025-01-10,7,Atendeu ao combinado.
PSQ0040,PRJ0052,15/05/2026,8,"Resultado ok, prazo apertado."
PSQ0041,PRJ0053,06-mai-2026,9,Entrega no prazo e time muito atencioso.
PSQ0042,PRJ0055,11/04/2024,9,Entrega no prazo e time muito atencioso.
PSQ0043,PRJ0057,2026-05-11,,Entrega no prazo e time muito atencioso.
PSQ0044,PRJ0059,2025-05-19,4,Atraso significativo na entrega.
PSQ0045,PRJ0060,2025-05-20,9,Documentação impecável.
PSQ0046,PRJ0061,2025-06-16,8,"Resultado ok, prazo apertado."
PSQ0047,PRJ0064,03/06/2026,10,Documentação impecável.
PSQ0048,PRJ0065,08-abr-2026,10,O painel virou rotina da diretoria.
PSQ0049,PRJ0066,12/30/2024,10,Entrega no prazo e time muito atencioso.
PSQ0050,PRJ0067,2024-07-18,9,Documentação impecável.
PSQ0051,PRJ0068,2025-03-25,9,Documentação impecável.
PSQ0052,PRJ0069,2024-11-25,10,O painel virou rotina da diretoria.
PSQ0053,PRJ0070,2025-08-29,9,Documentação impecável.
PSQ0054,PRJ0071,11/03/2025,9,O painel virou rotina da diretoria.
PSQ0055,PRJ0072,24-nov-2025,10,Entrega no prazo e time muito atencioso.
PSQ0056,PRJ0073,03/24/2025,10,O painel virou rotina da diretoria.
